orgid,name,sectorid
49,Camphill Village Kimberton Hills,11
49,Camphill Village Kimberton Hills,13
49,Camphill Village Kimberton Hills,14
49,Camphill Village Kimberton Hills,16
49,Camphill Village Kimberton Hills,17
50,Carol Cannon Group,2
50,Carol Cannon Group,4
50,Carol Cannon Group,9
50,Carol Cannon Group,16
51,Carroll Energy Solutions,1
51,Carroll Energy Solutions,2
51,Carroll Energy Solutions,4
51,Carroll Energy Solutions,5
51,Carroll Energy Solutions,14
51,Carroll Energy Solutions,16
52,"Cecilian Center for Earth, Arts and Spirit",4
52,"Cecilian Center for Earth, Arts and Spirit",7
53,Cedar Run Landscapes,11
53,Cedar Run Landscapes,14
53,Cedar Run Landscapes,16
53,Cedar Run Landscapes,17
54,Cedarbrook Middle School,4
55,Center in the Park-Senior Environment Corps,15
56,Central Bucks Bicycle Club,5
56,Central Bucks Bicycle Club,13
57,Central Bucks Chamber of Commerce - Architecture & Enviro. Committee,2
57,Central Bucks Chamber of Commerce - Architecture & Enviro. Committee,3
57,Central Bucks Chamber of Commerce - Architecture & Enviro. Committee,5
57,Central Bucks Chamber of Commerce - Architecture & Enviro. Committee,10
57,Central Bucks Chamber of Commerce - Architecture & Enviro. Committee,12
58,Cheltenham High School Environmental Task Force,4
58,Cheltenham High School Environmental Task Force,6
58,Cheltenham High School Environmental Task Force,14
59,Chemical Heritage Foundation,4
60,Chenoa Manor Animal Sanctuary,4
60,Chenoa Manor Animal Sanctuary,9
60,Chenoa Manor Animal Sanctuary,18
61,Chester County Citizens for Climate Protection,1
61,Chester County Citizens for Climate Protection,5
61,Chester County Citizens for Climate Protection,16
62,Chester County Trail Club,13
63,Chester Ridley Crum Watersheds Association,17
64,Chestnut Hill United Methodist Church Environmental and Social Justice,6
64,Chestnut Hill United Methodist Church Environmental and Social Justice,7
64,Chestnut Hill United Methodist Church Environmental and Social Justice,9
65,ChoosePAWind,1
65,ChoosePAWind,2
65,ChoosePAWind,4
65,ChoosePAWind,5
65,ChoosePAWind,16
66,Churchville Nature Center,4
66,Churchville Nature Center,13
66,Churchville Nature Center,17
66,Churchville Nature Center,18
66,Churchville Nature Center,19
67,Clark Energy Consultants,1
67,Clark Energy Consultants,2
67,Clark Energy Consultants,5
67,Clark Energy Consultants,14
68,Clean Air Council,1
69,Clean Air Lawn Care,3
69,Clean Air Lawn Care,5
69,Clean Air Lawn Care,11
69,Clean Air Lawn Care,16
70,Clean Water Action,1
70,Clean Water Action,4
70,Clean Water Action,5
70,Clean Water Action,6
70,Clean Water Action,9
70,Clean Water Action,12
70,Clean Water Action,14
70,Clean Water Action,17
71,Clean Water Action,1
71,Clean Water Action,4
71,Clean Water Action,5
71,Clean Water Action,6
71,Clean Water Action,9
71,Clean Water Action,12
71,Clean Water Action,14
71,Clean Water Action,17
72,Climate Change Working Group,1
72,Climate Change Working Group,2
72,Climate Change Working Group,3
72,Climate Change Working Group,4
72,Climate Change Working Group,5
72,Climate Change Working Group,6
72,Climate Change Working Group,7
72,Climate Change Working Group,8
72,Climate Change Working Group,9
72,Climate Change Working Group,10
72,Climate Change Working Group,12
72,Climate Change Working Group,14
72,Climate Change Working Group,15
72,Climate Change Working Group,16
72,Climate Change Working Group,17
72,Climate Change Working Group,18
73,Climate Project Presentation,4
73,Climate Project Presentation,5
74,Cobbs Creek Community Environmental Education Center,4
74,Cobbs Creek Community Environmental Education Center,13
74,Cobbs Creek Community Environmental Education Center,17
74,Cobbs Creek Community Environmental Education Center,18
75,Cobbs Creek Community Environmental Education Center,4
75,Cobbs Creek Community Environmental Education Center,19
76,Cobb's Creek West Community Association,11
76,Cobb's Creek West Community Association,17
77,"Communites in Schools of Philadelphia, Inc.",4
78,Community Design Collaborative,2
79,Community Gardens of Chester County,11
80,Community Recycling,3
80,Community Recycling,14
81,Conservancy of Montgomery County (The),10
81,Conservancy of Montgomery County (The),18
82,Cooks Creek Watershed Association,17
83,Darby Creek Valley Association,4
83,Darby Creek Valley Association,10
83,Darby Creek Valley Association,13
83,Darby Creek Valley Association,17
83,Darby Creek Valley Association,18
83,Darby Creek Valley Association,19
84,Defenders of Wildlife,5
84,Defenders of Wildlife,18
85,Delaware County's Concerned Citizens for Environmental Change,6
85,Delaware County's Concerned Citizens for Environmental Change,9
85,Delaware County's Concerned Citizens for Environmental Change,12
86,Delaware River Basin Commission,4
86,Delaware River Basin Commission,13
86,Delaware River Basin Commission,17
86,Delaware River Basin Commission,18
87,Delaware Riverkeeper Network,6
87,Delaware Riverkeeper Network,9
87,Delaware Riverkeeper Network,11
87,Delaware Riverkeeper Network,14
87,Delaware Riverkeeper Network,17
87,Delaware Riverkeeper Network,18
87,Delaware Riverkeeper Network,19
88,Delaware Valley Association of Rail Passengers,5
89,Delaware Valley Earth Force,4
89,Delaware Valley Earth Force,17
90,Delaware Valley Earth Force,4
90,Delaware Valley Earth Force,17
91,Delaware Valley Green Building Council,1
91,Delaware Valley Green Building Council,2
91,Delaware Valley Green Building Council,3
91,Delaware Valley Green Building Council,4
91,Delaware Valley Green Building Council,5
91,Delaware Valley Green Building Council,6
91,Delaware Valley Green Building Council,10
91,Delaware Valley Green Building Council,11
91,Delaware Valley Green Building Council,12
91,Delaware Valley Green Building Council,14
91,Delaware Valley Green Building Council,16
91,Delaware Valley Green Building Council,17
91,Delaware Valley Green Building Council,18
92,Delaware Valley Orienteering Association,13
93,Delaware Valley Regional Planning Commission,1
93,Delaware Valley Regional Planning Commission,5
93,Delaware Valley Regional Planning Commission,6
